Group_ID,Site,Text,URL
7,walmart,Canvas Wall Art,http://photos.walmart.com/walmart/storepage/storePageId=Wall+Art?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_PhotoCenter_CanvasWallArt
7,walmart,"Pretend Play, Arts & Crafts",http://www.walmart.com/cp/Pretend-Play-Arts-Crafts/4173?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_Toys_PretendPlayArtsCrafts
7,wayfair,Wall Art & Coverings,http://www.wayfair.com/Wall-Art-and-Coverings-C215362.html
7,bjs,Pretend Play & Dress-up,http://www.bjs.com/toys/pretend-play--dress-up.category.824.808.2000663.1
7,overstock,Craft Lover's Gifts,http://www.overstock.com/Crafts-Sewing/Craft-Lovers-Gifts/291/dept.html
7,overstock,Crafts,http://www.overstock.com/Crafts-Sewing/Crafts/261/dept.html
7,overstock,Crafts & Sewing,http://www.overstock.com/Main-Street-Revolution/Crafts-Sewing/369/dept.html
7,walmart,Crafts,http://www.walmart.com/cp/Crafts/667479?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Home_Crafts
8,bestbuy,Outdoor Play,http://www.bestbuy.com/site/Toys-Games/Outdoor-Toys-Games/pcmcat250300050003.c?id=pcmcat250300050003
8,bjs,Bouncers & Outdoor Play,http://www.bjs.com/toys/bouncers--outdoor-play.category.129003.808.2001769.1
8,bjs,Pretend Play & Dress-up,http://www.bjs.com/toys/pretend-play--dress-up.category.824.808.2000663.1
8,bjs,Indoor Play,http://www.bjs.com/toys/indoor-play.category.3000000000000019003.808.2004916.1
8,bjs,Play Yards,http://www.bjs.com/baby/play-yards.category.1055.1035.2003099.1
8,walmart,Outdoor Play,http://www.walmart.com/cp/14521?povid=cat121828-env999999-module020813-lLinkGNAV4_PatioGarden_OutdoorPlay
8,walmart,"Pretend Play, Arts & Crafts",http://www.walmart.com/cp/Pretend-Play-Arts-Crafts/4173?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_Toys_PretendPlayArtsCrafts
8,wayfair,Outdoor Games & Play,http://www.wayfair.com/Outdoor-Games-and-Play-C216137.html
8,bjs,Arts & Crafts,http://www.bjs.com/toys/arts--crafts.category.809.808.2003469.1
8,overstock,Craft Lover's Gifts,http://www.overstock.com/Crafts-Sewing/Craft-Lovers-Gifts/291/dept.html
8,overstock,Crafts,http://www.overstock.com/Crafts-Sewing/Crafts/261/dept.html
8,overstock,Crafts & Sewing,http://www.overstock.com/Main-Street-Revolution/Crafts-Sewing/369/dept.html
8,walmart,Crafts,http://www.walmart.com/cp/Crafts/667479?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Home_Crafts
9,bestbuy,Outdoor Play,http://www.bestbuy.com/site/Toys-Games/Outdoor-Toys-Games/pcmcat250300050003.c?id=pcmcat250300050003
9,bjs,Bouncers & Outdoor Play,http://www.bjs.com/toys/bouncers--outdoor-play.category.129003.808.2001769.1
9,bjs,Pretend Play & Dress-up,http://www.bjs.com/toys/pretend-play--dress-up.category.824.808.2000663.1
9,bjs,Indoor Play,http://www.bjs.com/toys/indoor-play.category.3000000000000019003.808.2004916.1
9,bjs,Play Yards,http://www.bjs.com/baby/play-yards.category.1055.1035.2003099.1
9,walmart,Outdoor Play,http://www.walmart.com/cp/14521?povid=cat121828-env999999-module020813-lLinkGNAV4_PatioGarden_OutdoorPlay
9,walmart,"Pretend Play, Arts & Crafts",http://www.walmart.com/cp/Pretend-Play-Arts-Crafts/4173?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_Toys_PretendPlayArtsCrafts
9,wayfair,Outdoor Games & Play,http://www.wayfair.com/Outdoor-Games-and-Play-C216137.html
10,bestbuy,Outdoor Play,http://www.bestbuy.com/site/Toys-Games/Outdoor-Toys-Games/pcmcat250300050003.c?id=pcmcat250300050003
10,bjs,Bouncers & Outdoor Play,http://www.bjs.com/toys/bouncers--outdoor-play.category.129003.808.2001769.1
10,bjs,Pretend Play & Dress-up,http://www.bjs.com/toys/pretend-play--dress-up.category.824.808.2000663.1
10,bjs,Indoor Play,http://www.bjs.com/toys/indoor-play.category.3000000000000019003.808.2004916.1
10,bjs,Play Yards,http://www.bjs.com/baby/play-yards.category.1055.1035.2003099.1
10,walmart,Outdoor Play,http://www.walmart.com/cp/14521?povid=cat121828-env999999-module020813-lLinkGNAV4_PatioGarden_OutdoorPlay
10,walmart,"Pretend Play, Arts & Crafts",http://www.walmart.com/cp/Pretend-Play-Arts-Crafts/4173?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_Toys_PretendPlayArtsCrafts
10,wayfair,Outdoor Games & Play,http://www.wayfair.com/Outdoor-Games-and-Play-C216137.html
10,bjs,Art Gallery,http://www.bjs.com/home/art-gallery.category.602.385.2000631.1
10,bjs,Arts & Crafts,http://www.bjs.com/toys/arts--crafts.category.809.808.2003469.1
10,overstock,Art Gallery,http://www.overstock.com/Home-Garden/Art-Gallery/216/dept.html
10,overstock,Art & School Supplies,http://www.overstock.com/Office-Supplies/Art-School-Supplies/176/dept.html
10,overstock,Art Supplies,http://www.overstock.com/Crafts-Sewing/Art-Supplies/444/dept.html
10,walmart,Canvas Wall Art,http://photos.walmart.com/walmart/storepage/storePageId=Wall+Art?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_PhotoCenter_CanvasWallArt
10,wayfair,Wall Art & Coverings,http://www.wayfair.com/Wall-Art-and-Coverings-C215362.html
10,overstock,Craft Lover's Gifts,http://www.overstock.com/Crafts-Sewing/Craft-Lovers-Gifts/291/dept.html
10,overstock,Crafts,http://www.overstock.com/Crafts-Sewing/Crafts/261/dept.html
10,overstock,Crafts & Sewing,http://www.overstock.com/Main-Street-Revolution/Crafts-Sewing/369/dept.html
10,walmart,Crafts,http://www.walmart.com/cp/Crafts/667479?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Home_Crafts
11,walmart,Canvas Wall Art,http://photos.walmart.com/walmart/storepage/storePageId=Wall+Art?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_PhotoCenter_CanvasWallArt
11,wayfair,Wall Art & Coverings,http://www.wayfair.com/Wall-Art-and-Coverings-C215362.html
11,wayfair,Wall Lighting,http://www.wayfair.com/Wall-Lighting-C215424.html
11,bjs,Art Gallery,http://www.bjs.com/home/art-gallery.category.602.385.2000631.1
11,bjs,Arts & Crafts,http://www.bjs.com/toys/arts--crafts.category.809.808.2003469.1
11,overstock,Art Gallery,http://www.overstock.com/Home-Garden/Art-Gallery/216/dept.html
11,overstock,Art & School Supplies,http://www.overstock.com/Office-Supplies/Art-School-Supplies/176/dept.html
11,overstock,Art Supplies,http://www.overstock.com/Crafts-Sewing/Art-Supplies/444/dept.html
11,walmart,"Pretend Play, Arts & Crafts",http://www.walmart.com/cp/Pretend-Play-Arts-Crafts/4173?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_Toys_PretendPlayArtsCrafts
12,walmart,Canvas Wall Art,http://photos.walmart.com/walmart/storepage/storePageId=Wall+Art?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_PhotoCenter_CanvasWallArt
12,wayfair,Wall Art & Coverings,http://www.wayfair.com/Wall-Art-and-Coverings-C215362.html
12,wayfair,Wall Lighting,http://www.wayfair.com/Wall-Lighting-C215424.html
12,bjs,Art Gallery,http://www.bjs.com/home/art-gallery.category.602.385.2000631.1
12,bjs,Arts & Crafts,http://www.bjs.com/toys/arts--crafts.category.809.808.2003469.1
12,overstock,Art Gallery,http://www.overstock.com/Home-Garden/Art-Gallery/216/dept.html
12,overstock,Art & School Supplies,http://www.overstock.com/Office-Supplies/Art-School-Supplies/176/dept.html
12,overstock,Art Supplies,http://www.overstock.com/Crafts-Sewing/Art-Supplies/444/dept.html
12,walmart,"Pretend Play, Arts & Crafts",http://www.walmart.com/cp/Pretend-Play-Arts-Crafts/4173?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_Toys_PretendPlayArtsCrafts
13,bestbuy,Sports & Outdoor Recreation,http://www.bestbuy.com/site/Health-Fitness/Sports-Outdoor-Recreation/pcmcat273800050017.c?id=pcmcat273800050017
13,bestbuy,Outdoor Play,http://www.bestbuy.com/site/Toys-Games/Outdoor-Toys-Games/pcmcat250300050003.c?id=pcmcat250300050003
13,bestbuy,Outdoor Living,http://www.bestbuy.com/site/Home/Outdoor-Living/pcmcat179100050006.c?id=pcmcat179100050006
13,bjs,Outdoor Living,http://www.bjs.com/home/outdoor-living.category.521.385.2000198.1
13,bjs,Awnings & Outdoor Shading,http://www.bjs.com/seasonal/awnings--outdoor-shading.category.29510.28511.2003635.1
13,bjs,Outdoor Party,http://www.bjs.com/seasonal/outdoor-party.category.3000000000000032003.28511.2005569.1
13,bjs,Bouncers & Outdoor Play,http://www.bjs.com/toys/bouncers--outdoor-play.category.129003.808.2001769.1
13,overstock,Outdoors,http://www.overstock.com/Sports-Toys/Outdoors/219/dept.html
13,overstock,Sports & Outdoors,http://www.overstock.com/As-Seen-on-TV/Sports-Outdoors/433/dept.html
13,walmart,Outdoor Power Equipment,http://www.walmart.com/cp/1102182?povid=cat121828-env999999-moduleA020813-lLinkGNAV3_HomeImprovement_OutdoorPowerEquipment
13,walmart,Grills & Outdoor Cooking,http://www.walmart.com/cp/Grills-Outdoor-Cooking/4089?povid=cat121828-env999999-moduleA072012-lLinkGNAV4_PatioGarden_GrillsOutdoorCooking
13,walmart,Outdoor Play,http://www.walmart.com/cp/14521?povid=cat121828-env999999-module020813-lLinkGNAV4_PatioGarden_OutdoorPlay
13,walmart,Patio & Outdoor Decor,http://www.walmart.com/cp/1102183?povid=cat121828-env999999-moduleA020813-lLinkGNAV4_PatioGarden_PatioGarden
13,walmart,Outdoors & Recreation,http://www.walmart.com/cp/Outdoor-Play/546956?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_SportsFitnessOutdoors_OutdoorsRecreation
13,wayfair,Outdoor Lighting,http://www.wayfair.com/Outdoor-Lighting-C45346.html
13,wayfair,Outdoor Cooking,http://www.wayfair.com/Outdoor-Cooking-C215946.html
13,wayfair,Outdoor D�cor,http://www.wayfair.com/Outdoor-D%C3%A9cor-C215436.html
13,wayfair,Outdoor Games & Play,http://www.wayfair.com/Outdoor-Games-and-Play-C216137.html
13,wayfair,Outdoor Heating,http://www.wayfair.com/Outdoor-Heating-C215961.html
13,wayfair,Outdoor Recreation,http://www.wayfair.com/Outdoor-Recreation-C216001.html
13,bestbuy,DJ & Lighting Equipment,http://www.bestbuy.com/site/Musical-Instruments/DJ-Lighting-Equipment/pcmcat152100050027.c?id=pcmcat152100050027
13,overstock,Lighting,http://www.overstock.com/Crafts-Sewing/Lighting/262/dept.html
13,walmart,Lighting,http://www.walmart.com/cp/home-lighting/133113?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_HomeImprovement_Lighting
13,wayfair,Ceiling Lighting,http://www.wayfair.com/Ceiling-Lighting-C215416.html
13,wayfair,Wall Lighting,http://www.wayfair.com/Wall-Lighting-C215424.html
